Description,Genre,IMLink,MovieName,Movie_link,Rating,Year,_id,id
"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg",Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt,6.9,-2022,6421971c32839ec2cd26de82,13
A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Prince of Persia: The Sands of Time,https://www.imdb.com/title/tt0473075/?ref_=ttls_li_tt,6.6,-2010,6421971c32839ec2cd26de83,14
"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=ttls_li_tt,5.8,-2010,6421971c32839ec2cd26de84,15
"14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BMzc3MjYxNzg2N15BMl5BanBnXkFtZTcwNzQyMTkwNA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Season of the Witch,https://www.imdb.com/title/tt0479997/?ref_=ttls_li_tt,5.4,-2011,6421971c32839ec2cd26de85,16
"A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer""s murderous cult, he is forced to fight and seek his redemption slaying evil.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BMTU5NDMwOTkxMV5BMl5BanBnXkFtZTcwMTg5OTM1OA@@._V1_UY209_CR9,0,140,209_AL_.jpg",Solomon Kane,https://www.imdb.com/title/tt0970452/?ref_=ttls_li_tt,6.1,-2009,6421971c32839ec2cd26de86,17
"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy""s key sorcerer, takes her deep into the desert and prepares for a final showdown.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BMjkxNTAwNTQ0M15BMl5BanBnXkFtZTYwMTQwMjM3._V1_UY209_CR0,0,140,209_AL_.jpg",The Scorpion King,https://www.imdb.com/title/tt0277296/?ref_=ttls_li_tt,5.5,-2002,6421971c32839ec2cd26de87,18
"With their warning about Lord Voldemort""s return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BOTA3MmRmZDgtOWU1Ny00ZDc5LWFkN2YtNzNlY2UxZmY0N2IyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX140_CR0,0,140,209_AL_.jpg",Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=ttls_li_tt,7.5,-2007,6421971c32839ec2cd26de88,19
"In a world divided by factions based on virtues, Tris learns she""s Divergent and won""t fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it""s too late.","[""Action"",""Adventure"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Divergent,https://www.imdb.com/title/tt1840309/?ref_=ttls_li_tt,6.6,-2014,6421971c32839ec2cd26de89,20
"A veteran assigned to extract Earth""""s remaining resources begins to question what he knows about his mission and himself.","[""Action"",""Adventure"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Oblivion,https://www.imdb.com/title/tt1483013/?ref_=ttls_li_tt,7,-2013,6421971c32839ec2cd26de8a,21
A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,"[""Action"",""Adventure"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Men in Black,https://www.imdb.com/title/tt0119654/?ref_=ttls_li_tt,7.3,-1997,6421971c32839ec2cd26de8b,22
A historian races to find the legendary Templar Treasure before a team of mercenaries.,"[""Action"",""Adventure"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",National Treasure,https://www.imdb.com/title/tt0368891/?ref_=ttls_li_tt,6.9,-2004,6421971c32839ec2cd26de8c,23
"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island""s new inhabitants.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BZDMyZGJjOGItYjJkZC00MDVlLWE0Y2YtZGIwMDExYWE3MGQ3XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY209_CR1,0,140,209_AL_.jpg",Jurassic Park III,https://www.imdb.com/title/tt0163025/?ref_=ttls_li_tt,5.9,-2001,6421971c32839ec2cd26de8d,24
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Inception,https://www.imdb.com/title/tt1375666/?ref_=ttls_li_tt,8.8,-2010,6421971c32839ec2cd26de8e,25
"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Total Recall,https://www.imdb.com/title/tt0100802/?ref_=ttls_li_tt,7.5,-1990,6421971c32839ec2cd26de8f,26
"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Iron Man,https://www.imdb.com/title/tt0371746/?ref_=ttls_li_tt,7.9,-2008,6421971c32839ec2cd26de90,27
A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",2012,https://www.imdb.com/title/tt1190080/?ref_=ttls_li_tt,5.8,-2009,6421971c32839ec2cd26de91,28
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Inception,https://www.imdb.com/title/tt1375666/?ref_=ttls_li_tt,8.8,-2010,6421971c32839ec2cd26de92,29
"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_UY209_CR0,0,140,209_AL_.jpg",Edge of Tomorrow,https://www.imdb.com/title/tt1631867/?ref_=ttls_li_tt,7.9,-2014,6421971c32839ec2cd26de93,30
